# offset_ms: 0
timestamp,sequence_number,session_id,event_type,latency_ms,payload
1705312808066,2,session_005,error_timeout,4477,evt_0002_error_2424
1705312832590,7,session_009,request_start,2767,evt_0007_reque_2674
1705312851984,12,session_008,heartbeat,3123,evt_0012_heart_5554
1705312875181,17,session_002,error_500,3296,evt_0017_error_5386
1705312887250,22,session_008,heartbeat,1143,evt_0022_heart_9348
1705314905829,497,session_007,request_start,657,evt_0497_reque_8369
1705312909727,27,session_018,error_500,2796,evt_0027_error_2827
1705312936777,32,session_011,request_end,926,evt_0032_reque_6947
1705312958736,37,session_007,error_timeout,3278,evt_0037_error_7118
1705312972669,42,session_009,error_timeout,1765,evt_0042_error_9834
1705312987834,47,session_007,request_end,1158,evt_0047_reque_7912
1705313000988,52,session_013,request_start,3737,evt_0052_reque_5673
1705313020100,57,session_006,request_start,566,evt_0057_reque_4853
1705313043209,62,session_010,request_end,604,evt_0062_reque_1152
1705313062439,67,session_018,request_start,858,evt_0067_reque_3200
1705313078455,72,session_005,request_end,2155,evt_0072_reque_3647
1705313091002,77,session_008,error_timeout,2907,evt_0077_error_7658
1705313120500,82,session_002,heartbeat,1832,evt_0082_heart_4269
1705313148967,87,session_009,request_start,2184,evt_0087_reque_1626
1705314905829,497,session_007,request_start,657,evt_0497_reque_8369
1705313169546,92,session_003,heartbeat,2714,evt_0092_heart_6143
1705313189115,97,session_010,request_start,4761,evt_0097_reque_6279
1705313210470,102,session_020,error_500,606,evt_0102_error_8461
1705313227517,107,session_015,error_timeout,4588,evt_0107_error_6198
1705313252583,112,session_009,request_start,4434,evt_0112_reque_2320
1705313271467,117,session_001,heartbeat,2456,evt_0117_heart_7389
1705313302456,122,session_013,request_end,232,evt_0122_reque_2375
1705313319627,127,session_018,request_start,2876,evt_0127_reque_4673
1705313340691,132,session_006,heartbeat,895,evt_0132_heart_1420
1705313023907,58,session_004,heartbeat,4676,evt_0058_heart_5033
1705313367345,137,session_012,request_start,2805,evt_0137_reque_1207
1705313962123,272,session_005,error_timeout,1847,evt_0272_error_2773
1705313394767,142,session_008,error_500,719,evt_0142_error_5569
1705313417760,147,session_007,request_start,3339,evt_0147_reque_9004
1705313443728,152,session_015,request_start,2069,evt_0152_reque_4777
1705313456572,157,session_009,request_start,456,evt_0157_reque_5786
1705313635754,197,session_014,request_start,4169,evt_0197_reque_5377
1705313486629,162,session_003,request_end,449,evt_0162_reque_3485
1705313509715,167,session_004,heartbeat,1712,evt_0167_heart_4457
1705313522114,172,session_004,request_end,1230,evt_0172_reque_5352
1705313486629,162,session_003,request_end,449,evt_0162_reque_3485
1705313551807,177,session_014,error_timeout,4955,evt_0177_error_5102
1705313573578,182,session_011,request_start,866,evt_0182_reque_3634
1705313597652,187,session_002,request_start,2973,evt_0187_reque_9167
1705313617345,192,session_008,heartbeat,939,evt_0192_heart_8560
1705313635754,197,session_014,request_start,4169,evt_0197_reque_5377
1705313659335,202,session_014,request_start,3884,evt_0202_reque_7246
1705313678390,207,session_013,request_end,2701,evt_0207_reque_9742
1705313696705,212,session_002,request_start,3080,evt_0212_reque_8056
1705313715179,217,session_018,request_start,3628,evt_0217_reque_6661
1705313732901,222,session_019,heartbeat,411,evt_0222_heart_9138
1705313758840,227,session_014,request_start,1092,evt_0227_reque_9837
1705313784129,232,session_013,request_start,4405,evt_0232_reque_3024
1705313812242,237,session_010,request_end,965,evt_0237_reque_3290
1705313829479,242,session_014,heartbeat,2301,evt_0242_heart_1536
1705313853440,247,session_011,request_start,1041,evt_0247_reque_4362
1705313868126,252,session_012,error_500,1959,evt_0252_error_6304
1705313888034,257,session_015,request_end,265,evt_0257_reque_1996
1705314147130,312,session_011,request_start,784,evt_0312_reque_7333
1705313913523,262,session_015,request_end,3534,evt_0262_reque_2624
1705313941943,267,session_016,request_start,709,evt_0267_reque_2527
1705313962123,272,session_005,error_timeout,1847,evt_0272_error_2773
1705314709645,448,session_016,request_start,2381,evt_0448_reque_1613
1705313982444,277,session_005,error_timeout,261,evt_0277_error_2503
1705314006705,282,session_009,request_start,4207,evt_0282_reque_2864
1705314026744,287,session_014,request_start,3124,evt_0287_reque_9725
1705314053794,292,session_006,error_500,3779,evt_0292_error_6928
1705314075005,297,session_005,request_start,1209,evt_0297_reque_5193
1705314098790,302,session_009,request_end,2893,evt_0302_reque_9312
1705314119619,307,session_005,heartbeat,3700,evt_0307_heart_2695
1705314147130,312,session_011,request_start,784,evt_0312_reque_7333
1705314167295,317,session_017,request_start,3478,evt_0317_reque_9331
1705314187927,322,session_011,heartbeat,1083,evt_0322_heart_7172
1705314204435,327,session_019,heartbeat,3792,evt_0327_heart_5616
1705314232505,332,session_006,request_start,4215,evt_0332_reque_3414
1705314261858,337,session_005,request_start,2360,evt_0337_reque_8740
1705314281331,342,session_002,request_start,3754,evt_0342_reque_2029
1705314295304,347,session_018,request_end,4168,evt_0347_reque_1333
1705314311113,352,session_016,request_end,1114,evt_0352_reque_2033
1705314311113,352,session_016,request_end,1114,evt_0352_reque_2033
1705314335179,357,session_002,heartbeat,2729,evt_0357_heart_5476
1705314363193,362,session_006,request_end,2641,evt_0362_reque_2680
1705314381398,367,session_006,heartbeat,1179,evt_0367_heart_8179
1705314395623,372,session_001,error_timeout,4098,evt_0372_error_9482
1705314417227,377,session_003,request_end,2388,evt_0377_reque_5914
1705314439168,382,session_013,heartbeat,3931,evt_0382_heart_9612
1705314456469,387,session_005,request_start,1336,evt_0387_reque_6286
1705314479385,392,session_020,error_timeout,4967,evt_0392_error_6531
1705314503195,397,session_003,error_timeout,1304,evt_0397_error_8202
1705313020100,57,session_006,request_start,566,evt_0057_reque_4853
1705314515864,402,session_004,request_start,3156,evt_0402_reque_7850
1705314530575,407,session_002,request_start,4904,evt_0407_reque_8710
1705314543540,412,session_018,request_start,983,evt_0412_reque_3108
1705314564843,417,session_011,heartbeat,2619,evt_0417_heart_3662
1705314585563,422,session_019,request_end,430,evt_0422_reque_8871
1705313913523,262,session_015,request_end,3534,evt_0262_reque_2624
1705314607782,427,session_005,request_end,4604,evt_0427_reque_6325
1705314634813,432,session_007,error_timeout,4015,evt_0432_error_6194
1705314652912,437,session_009,error_timeout,1762,evt_0437_error_4310
1705314676406,442,session_016,request_start,1136,evt_0442_reque_1084
1705314702691,447,session_006,heartbeat,307,evt_0447_heart_7504
1705314719676,452,session_004,request_start,3769,evt_0452_reque_5215
1705314740221,457,session_013,request_start,2197,evt_0457_reque_6400
1705314765049,462,session_008,request_start,1104,evt_0462_reque_8834
1705314787375,467,session_004,request_start,4496,evt_0467_reque_9281
1705314905829,497,session_007,request_start,657,evt_0497_reque_8369
1705314804931,472,session_015,error_timeout,2534,evt_0472_error_1356
1705314053794,292,session_006,error_500,3779,evt_0292_error_6928
1705314816956,477,session_013,request_end,3102,evt_0477_reque_7154
1705314835957,482,session_015,request_start,2268,evt_0482_reque_4088
1705314859099,487,session_002,request_start,2379,evt_0487_reque_4836
1705314884006,492,session_013,error_500,2621,evt_0492_error_7821
1705313750417,225,session_002,request_start,3621,evt_0225_reque_1546
1705314905829,497,session_007,request_start,657,evt_0497_reque_8369
1705314709645,448,session_016,request_start,2381,evt_0448_reque_1613
1705314568562,418,session_020,error_timeout,2461,evt_0418_error_6511
1705313374804,138,session_014,error_500,874,evt_0138_error_8102
1705313529385,173,session_005,request_start,1369,evt_0173_reque_6039
1705313023907,58,session_004,heartbeat,4676,evt_0058_heart_5033
1705313653786,200,session_018,error_500,3100,evt_0200_error_8460
1705314595345,425,session_015,request_start,1250,evt_0425_reque_7765
1705314335179,357,session_002,heartbeat,2729,evt_0357_heart_5476
1705313103638,79,session_006,heartbeat,213,evt_0079_heart_3938
1705313750417,225,session_002,request_start,3621,evt_0225_reque_1546
1705314363193,362,session_006,request_end,2641,evt_0362_reque_2680
