# offset_ms: 0
timestamp,sequence_number,session_id,event_type,latency_ms,payload
1705312822173,5,session_018,request_end,3689,evt_0005_reque_5557
1705312844560,10,session_003,request_end,2972,evt_0010_reque_4150
1705312867063,15,session_008,request_start,3118,evt_0015_reque_5422
1705312881133,20,session_005,request_start,4608,evt_0020_reque_9830
1705312901084,25,session_013,request_end,3844,evt_0025_reque_9669
1705312924625,30,session_017,request_end,1262,evt_0030_reque_7126
1705312947227,35,session_016,heartbeat,1362,evt_0035_heart_5342
1705312969168,40,session_008,request_start,492,evt_0040_reque_4750
1705312984769,45,session_014,request_end,453,evt_0045_reque_2612
1705312998220,50,session_008,request_start,3988,evt_0050_reque_8886
1705313008007,55,session_011,request_start,4795,evt_0055_reque_8811
1705313035034,60,session_019,request_end,2601,evt_0060_reque_5272
1705313060083,65,session_003,heartbeat,3037,evt_0065_heart_5669
1705313073967,70,session_009,request_end,2067,evt_0070_reque_1832
1705313087238,75,session_012,request_end,1223,evt_0075_reque_8041
1705313110171,80,session_011,error_500,3382,evt_0080_error_5065
1705313135217,85,session_009,request_end,4183,evt_0085_reque_7548
1705313158407,90,session_002,error_timeout,23,evt_0090_error_9518
1705313180584,95,session_014,error_timeout,3115,evt_0095_error_3851
1705313203738,100,session_020,request_start,1934,evt_0100_reque_6085
1705313225014,105,session_014,request_start,4253,evt_0105_reque_8611
1705313245694,110,session_009,error_500,2281,evt_0110_error_9540
1705313259148,115,session_002,request_start,3451,evt_0115_reque_7381
1705313287142,120,session_011,error_timeout,3322,evt_0120_error_3704
1705313312309,125,session_011,error_500,3115,evt_0125_error_5558
1705313329511,130,session_016,error_timeout,4630,evt_0130_error_4571
1705313356314,135,session_010,heartbeat,4928,evt_0135_heart_2983
1705313384782,140,session_017,heartbeat,2222,evt_0140_heart_9817
1705313410238,145,session_007,request_end,2126,evt_0145_reque_6576
1705313435970,150,session_008,request_start,4774,evt_0150_reque_7046
1705313452673,155,session_010,heartbeat,1600,evt_0155_heart_5853
1705313474542,160,session_011,request_start,430,evt_0160_reque_5136
1705313496675,165,session_017,request_end,3636,evt_0165_reque_5871
1705313517049,170,session_002,request_start,2326,evt_0170_reque_8438
1705313539098,175,session_010,error_timeout,2240,evt_0175_error_9199
1705313564033,180,session_015,heartbeat,1496,evt_0180_heart_8141
1705313586510,185,session_011,request_start,3321,evt_0185_reque_9431
1705313609768,190,session_001,heartbeat,4997,evt_0190_heart_4920
1705313627581,195,session_015,request_end,3152,evt_0195_reque_4122
1705313668927,205,session_017,heartbeat,135,evt_0205_heart_3361
1705313689414,210,session_003,request_end,816,evt_0210_reque_2646
1705313704865,215,session_019,request_start,3787,evt_0215_reque_5161
1705313726107,220,session_008,request_end,2950,evt_0220_reque_5847
1705313750417,225,session_002,request_start,3621,evt_0225_reque_1546
1705313796296,235,session_020,heartbeat,4609,evt_0235_heart_6374
1705313818625,240,session_012,error_timeout,4435,evt_0240_error_7866
1705313851026,245,session_012,request_start,2270,evt_0245_reque_4109
1705313860464,250,session_005,heartbeat,4435,evt_0250_heart_5106
1705313880437,255,session_012,request_end,903,evt_0255_reque_8405
1705313904275,260,session_005,request_start,2262,evt_0260_reque_9984
1705313931821,265,session_015,request_end,788,evt_0265_reque_6120
1705313957025,270,session_004,request_end,3474,evt_0270_reque_1842
1705313978091,275,session_009,request_start,2248,evt_0275_reque_6062
1705314000084,280,session_002,request_start,417,evt_0280_reque_2336
1705314015410,285,session_007,request_start,1740,evt_0285_reque_3248
1705314044322,290,session_011,request_end,4707,evt_0290_reque_7626
1705314066948,295,session_011,request_start,1387,evt_0295_reque_2251
1705314090031,300,session_019,request_end,2657,evt_0300_reque_6179
1705314107066,305,session_015,request_end,346,evt_0305_reque_8368
1705314137348,310,session_017,request_end,2991,evt_0310_reque_7108
1705314156228,315,session_013,request_start,704,evt_0315_reque_6072
