[0001] 0004: PUSH_INT 10 | stack: [10]
[0002] 0009: DUP | stack: [10, 10]
[0003] 000a: PRINTLN | stack: [10]
[0004] 000b: PUSH_INT 1 | stack: [10, 1]
[0005] 0010: SUB | stack: [9]
[0006] 0011: DUP | stack: [9, 9]
[0007] 0012: JNZ 0009 | stack: [9]
[0008] 0009: DUP | stack: [9, 9]
[0009] 000a: PRINTLN | stack: [9]
[0010] 000b: PUSH_INT 1 | stack: [9, 1]
[0011] 0010: SUB | stack: [8]
[0012] 0011: DUP | stack: [8, 8]
[0013] 0012: JNZ 0009 | stack: [8]
[0014] 0009: DUP | stack: [8, 8]
[0015] 000a: PRINTLN | stack: [8]
[0016] 000b: PUSH_INT 1 | stack: [8, 1]
[0017] 0010: SUB | stack: [7]
[0018] 0011: DUP | stack: [7, 7]
[0019] 0012: JNZ 0009 | stack: [7]
[0020] 0009: DUP | stack: [7, 7]
[0021] 000a: PRINTLN | stack: [7]
[0022] 000b: PUSH_INT 1 | stack: [7, 1]
[0023] 0010: SUB | stack: [6]
[0024] 0011: DUP | stack: [6, 6]
[0025] 0012: JNZ 0009 | stack: [6]
[0026] 0009: DUP | stack: [6, 6]
[0027] 000a: PRINTLN | stack: [6]
[0028] 000b: PUSH_INT 1 | stack: [6, 1]
[0029] 0010: SUB | stack: [5]
[0030] 0011: DUP | stack: [5, 5]
[0031] 0012: JNZ 0009 | stack: [5]
[0032] 0009: DUP | stack: [5, 5]
[0033] 000a: PRINTLN | stack: [5]
[0034] 000b: PUSH_INT 1 | stack: [5, 1]
[0035] 0010: SUB | stack: [4]
[0036] 0011: DUP | stack: [4, 4]
[0037] 0012: JNZ 0009 | stack: [4]
[0038] 0009: DUP | stack: [4, 4]
[0039] 000a: PRINTLN | stack: [4]
[0040] 000b: PUSH_INT 1 | stack: [4, 1]
[0041] 0010: SUB | stack: [3]
[0042] 0011: DUP | stack: [3, 3]
[0043] 0012: JNZ 0009 | stack: [3]
[0044] 0009: DUP | stack: [3, 3]
[0045] 000a: PRINTLN | stack: [3]
[0046] 000b: PUSH_INT 1 | stack: [3, 1]
[0047] 0010: SUB | stack: [2]
[0048] 0011: DUP | stack: [2, 2]
[0049] 0012: JNZ 0009 | stack: [2]
[0050] 0009: DUP | stack: [2, 2]
[0051] 000a: PRINTLN | stack: [2]
[0052] 000b: PUSH_INT 1 | stack: [2, 1]
[0053] 0010: SUB | stack: [1]
[0054] 0011: DUP | stack: [1, 1]
[0055] 0012: JNZ 0009 | stack: [1]
[0056] 0009: DUP | stack: [1, 1]
[0057] 000a: PRINTLN | stack: [1]
[0058] 000b: PUSH_INT 1 | stack: [1, 1]
[0059] 0010: SUB | stack: [0]
[0060] 0011: DUP | stack: [0, 0]
[0061] 0012: JNZ 0009 | stack: [0]
[0062] 0015: POP | stack: []
[0063] 0016: HALT | stack: []
