[0001] 0004: PUSH_INT 3 | stack: [3]
[0002] 0009: DUP | stack: [3, 3]
[0003] 000a: PRINTLN | stack: [3]
[0004] 000b: PUSH_INT 1 | stack: [3, 1]
[0005] 0010: SUB | stack: [2]
[0006] 0011: DUP | stack: [2, 2]
[0007] 0012: JNZ 0009 | stack: [2]
[0008] 0009: DUP | stack: [2, 2]
[0009] 000a: PRINTLN | stack: [2]
[0010] 000b: PUSH_INT 1 | stack: [2, 1]
[0011] 0010: SUB | stack: [1]
[0012] 0011: DUP | stack: [1, 1]
[0013] 0012: JNZ 0009 | stack: [1]
[0014] 0009: DUP | stack: [1, 1]
[0015] 000a: PRINTLN | stack: [1]
[0016] 000b: PUSH_INT 1 | stack: [1, 1]
[0017] 0010: SUB | stack: [0]
[0018] 0011: DUP | stack: [0, 0]
[0019] 0012: JNZ 0009 | stack: [0]
[0020] 0015: POP | stack: []
[0021] 0016: HALT | stack: []
