country,merchant_id,merchant_revenue,merchant_margin,merchant_avg_qa
AU,3238,231.300000,203.950000,0.192312
AU,4990,185.500000,133.400000,0.161078
AU,1390,171.900000,151.190000,0.169893
CA,1388,175.550000,147.590000,0.265905
CA,1612,169.950000,129.550000,0.224581
CA,1036,169.000000,141.770000,0.144199
DE,2634,223.700000,178.250000,0.331572
DE,4442,220.300000,176.940000,0.183260
DE,3178,190.950000,174.130000,0.144977
FR,2587,191.250000,174.800000,0.145635
FR,939,176.450000,157.290000,0.247205
FR,3931,168.800000,129.250000,0.159912
GB,2089,198.500000,183.790000,0.215610
GB,177,195.450000,158.150000,0.170121
GB,1033,189.850000,154.190000,0.235640
IN,4925,177.600000,150.760000,0.145657
IN,2605,173.100000,141.860000,0.214673
IN,685,163.850000,132.200000,0.261376
JP,2999,203.600000,175.340000,0.201462
JP,3655,196.350000,177.140000,0.169452
JP,4071,182.950000,158.500000,0.170491
US,4272,202.750000,198.500000,0.124855
US,4992,186.150000,159.190000,0.244079
US,2472,168.000000,143.320000,0.160199
