country,merchant_id,merchant_revenue,merchant_margin,merchant_avg_qa
AU,3214,234.250000,188.990000,0.182900
AU,4942,201.850000,159.050000,0.187092
AU,766,180.100000,146.230000,0.190314
CA,4036,371.550000,309.270000,0.161553
CA,1244,207.600000,167.130000,0.140909
CA,1684,196.800000,166.150000,0.160332
DE,4754,221.150000,191.450000,0.151683
DE,3402,203.000000,161.090000,0.215642
DE,4906,178.350000,156.480000,0.098802
FR,4307,199.250000,166.580000,0.224288
FR,3499,187.100000,152.240000,0.178167
FR,2675,175.950000,155.480000,0.179947
GB,2833,286.250000,255.590000,0.164509
GB,3153,207.250000,164.320000,0.195800
GB,2329,185.900000,158.970000,0.211408
IN,4733,178.750000,132.890000,0.208545
IN,3477,168.100000,127.930000,0.241591
IN,3509,167.850000,140.270000,0.224903
JP,4727,205.950000,163.650000,0.160440
JP,1847,183.350000,155.600000,0.183180
JP,4607,155.250000,120.380000,0.278487
US,568,270.550000,236.130000,0.145060
US,4960,204.000000,174.950000,0.261025
US,872,185.950000,173.770000,0.219042
