id,user_id,product_id,quantity,ordered_at
1,1,1,2,2024-02-01 09:00:00
2,1,7,1,2024-02-01 09:15:00
3,1,13,3,2024-02-01 10:00:00
4,1,19,1,2024-02-02 11:00:00
5,1,25,2,2024-02-03 14:00:00
6,2,2,1,2024-02-01 10:00:00
7,2,8,2,2024-02-01 11:00:00
8,2,14,1,2024-02-02 09:00:00
9,2,20,1,2024-02-03 15:00:00
10,2,26,1,2024-02-04 10:00:00
11,3,3,5,2024-02-01 08:00:00
12,3,9,1,2024-02-02 09:30:00
13,3,15,1,2024-02-03 10:00:00
14,3,21,2,2024-02-04 11:00:00
15,3,27,3,2024-02-05 12:00:00
16,4,4,1,2024-02-01 13:00:00
17,4,10,1,2024-02-02 14:00:00
18,4,16,1,2024-02-03 15:00:00
19,4,22,2,2024-02-04 16:00:00
20,4,28,4,2024-02-05 17:00:00
21,5,5,1,2024-02-01 09:00:00
22,5,11,1,2024-02-02 10:00:00
23,5,17,2,2024-02-03 11:00:00
24,6,6,3,2024-02-01 12:00:00
25,6,12,1,2024-02-02 13:00:00
26,6,18,2,2024-02-03 14:00:00
27,6,24,1,2024-02-04 15:00:00
28,6,30,1,2024-02-05 16:00:00
29,7,1,1,2024-02-02 09:00:00
30,7,7,2,2024-02-03 10:00:00
31,7,13,1,2024-02-04 11:00:00
32,7,19,2,2024-02-05 12:00:00
33,7,25,1,2024-02-06 13:00:00
34,8,2,2,2024-02-02 14:00:00
35,8,8,1,2024-02-03 15:00:00
36,8,14,3,2024-02-04 16:00:00
37,8,20,1,2024-02-05 17:00:00
38,8,26,2,2024-02-06 18:00:00
39,9,3,2,2024-02-02 08:00:00
40,9,9,1,2024-02-03 09:00:00
41,9,15,1,2024-02-04 10:00:00
42,10,4,2,2024-02-02 11:00:00
43,10,10,3,2024-02-03 12:00:00
44,10,16,1,2024-02-04 13:00:00
45,10,22,1,2024-02-05 14:00:00
46,10,28,2,2024-02-06 15:00:00
47,11,5,2,2024-02-03 09:00:00
48,11,11,1,2024-02-04 10:00:00
49,11,17,1,2024-02-05 11:00:00
50,11,23,1,2024-02-06 12:00:00
51,12,6,2,2024-02-03 13:00:00
52,12,12,1,2024-02-04 14:00:00
53,12,18,1,2024-02-05 15:00:00
54,12,24,3,2024-02-06 16:00:00
55,12,30,1,2024-02-07 17:00:00
56,13,1,3,2024-02-04 09:00:00
57,13,7,1,2024-02-05 10:00:00
58,13,13,2,2024-02-06 11:00:00
59,13,19,1,2024-02-07 12:00:00
60,13,25,2,2024-02-08 13:00:00
61,14,2,1,2024-02-04 14:00:00
62,14,8,1,2024-02-05 15:00:00
63,14,14,2,2024-02-06 16:00:00
64,14,20,1,2024-02-07 17:00:00
65,14,26,1,2024-02-08 18:00:00
66,15,3,1,2024-02-04 08:00:00
67,15,9,2,2024-02-05 09:00:00
68,16,4,1,2024-02-05 10:00:00
69,16,10,2,2024-02-06 11:00:00
70,16,16,1,2024-02-07 12:00:00
71,16,22,1,2024-02-08 13:00:00
72,16,28,3,2024-02-09 14:00:00
73,17,5,1,2024-02-05 15:00:00
74,17,11,2,2024-02-06 16:00:00
75,17,17,1,2024-02-07 17:00:00
76,17,23,1,2024-02-08 18:00:00
77,17,29,2,2024-02-09 09:00:00
78,18,6,1,2024-02-06 10:00:00
79,18,12,2,2024-02-07 11:00:00
80,18,18,1,2024-02-08 12:00:00
81,18,24,2,2024-02-09 13:00:00
82,18,30,1,2024-02-10 14:00:00
83,19,1,1,2024-02-07 09:00:00
84,19,7,3,2024-02-08 10:00:00
85,19,13,1,2024-02-09 11:00:00
86,19,19,2,2024-02-10 12:00:00
87,19,25,1,2024-02-11 13:00:00
88,20,2,1,2024-02-07 14:00:00
89,20,8,2,2024-02-08 15:00:00
90,20,14,1,2024-02-09 16:00:00
91,20,20,2,2024-02-10 17:00:00
92,20,26,1,2024-02-11 18:00:00
93,1,3,2,2024-02-10 09:00:00
94,2,4,1,2024-02-10 10:00:00
95,3,5,2,2024-02-10 11:00:00
96,4,6,1,2024-02-10 12:00:00
97,6,1,2,2024-02-10 13:00:00
98,7,2,1,2024-02-10 14:00:00
99,8,3,3,2024-02-10 15:00:00
100,10,5,1,2024-02-10 16:00:00
