# offset_ms: 300000
timestamp,sequence_number,session_id,event_type,latency_ms,payload
1705313105738,1,session_004,request_start,2263,evt_0001_reque_5012
1705313129303,6,session_001,error_500,1317,evt_0006_error_7924
1705313150831,11,session_003,request_start,1876,evt_0011_reque_5741
1705313172805,16,session_018,request_start,2666,evt_0016_reque_1916
1705313183785,21,session_019,request_end,4790,evt_0021_reque_7543
1705313203643,26,session_018,heartbeat,104,evt_0026_heart_2876
1705313231371,31,session_006,request_end,4354,evt_0031_reque_1009
1705313252049,36,session_020,request_end,1745,evt_0036_reque_9835
1705313270220,41,session_002,heartbeat,590,evt_0041_heart_9423
1705313285765,46,session_013,error_timeout,905,evt_0046_error_5073
1705313300471,51,session_013,heartbeat,1358,evt_0051_heart_7209
1705313312626,56,session_017,request_start,4170,evt_0056_reque_2312
1705313337207,61,session_011,request_start,3252,evt_0061_reque_3144
1705313361875,66,session_015,error_500,2488,evt_0066_error_9666
1705313375223,71,session_014,error_500,371,evt_0071_error_1058
1705313388782,76,session_002,request_start,336,evt_0076_reque_6862
1705313412856,81,session_006,error_500,895,evt_0081_error_7267
1705313441283,86,session_018,request_start,236,evt_0086_reque_2889
1705313465513,91,session_018,error_timeout,1624,evt_0091_error_6967
1705313486126,96,session_019,request_start,4498,evt_0096_reque_1006
1705313506078,101,session_007,request_start,388,evt_0101_reque_5011
1705313525925,106,session_018,request_start,1004,evt_0106_reque_8478
1705313550163,111,session_008,request_start,644,evt_0111_reque_5681
1705313567060,116,session_019,heartbeat,170,evt_0116_heart_7232
1705313594527,121,session_015,heartbeat,4385,evt_0121_heart_1441
1705313618969,126,session_014,request_start,680,evt_0126_reque_8705
1705313633820,131,session_009,error_500,1384,evt_0131_error_2876
1705313663336,136,session_019,error_500,2854,evt_0136_error_9728
1705313691627,141,session_016,request_end,4863,evt_0141_reque_5397
1705313713028,146,session_020,error_timeout,2273,evt_0146_error_1166
1705313740346,151,session_018,request_end,3495,evt_0151_reque_6419
1705313755036,156,session_012,request_start,125,evt_0156_reque_9751
1705313782101,161,session_016,request_start,545,evt_0161_reque_7565
1705313804221,166,session_019,heartbeat,2511,evt_0166_heart_1986
1705313818132,171,session_008,heartbeat,4841,evt_0171_heart_4241
1705313844021,176,session_016,request_end,4909,evt_0176_reque_1653
1705313869733,181,session_016,heartbeat,3860,evt_0181_heart_6700
1705313893767,186,session_001,error_timeout,4454,evt_0186_error_8569
1705313916082,191,session_006,request_start,122,evt_0191_reque_7684
1705313932991,196,session_017,error_timeout,1128,evt_0196_error_2143
1705313956922,201,session_007,heartbeat,1966,evt_0201_heart_7274
1705313972785,206,session_005,request_start,2181,evt_0206_reque_6546
1705313993548,211,session_006,error_timeout,247,evt_0211_error_1753
1705314009129,216,session_009,error_timeout,3821,evt_0216_error_5712
1705314032335,221,session_010,request_start,3252,evt_0221_reque_5497
1705314055664,226,session_012,error_timeout,748,evt_0226_error_5835
1705314082890,231,session_008,heartbeat,3265,evt_0231_heart_6992
1705314104293,236,session_020,request_start,527,evt_0236_reque_8606
1705314123936,241,session_005,heartbeat,821,evt_0241_heart_9017
1705314152526,246,session_015,request_start,1747,evt_0246_reque_1349
1705314167505,251,session_006,request_start,221,evt_0251_reque_3159
1705314185064,256,session_008,heartbeat,365,evt_0256_heart_9543
1705314210608,261,session_011,request_end,4903,evt_0261_reque_9692
1705314235817,266,session_011,error_timeout,3076,evt_0266_error_3500
