# offset_ms: 0
timestamp,sequence_number,session_id,event_type,latency_ms,payload
1705312813403,3,session_014,request_start,777,evt_0003_reque_4582
1705312833849,8,session_013,request_start,2827,evt_0008_reque_5333
1705312856198,13,session_012,request_start,2920,evt_0013_reque_4432
1705312876223,18,session_007,heartbeat,4656,evt_0018_heart_6155
1705312891792,23,session_003,error_500,908,evt_0023_error_3504
1705312912631,28,session_014,request_start,36,evt_0028_reque_5315
1705312944475,33,session_010,cmVxdWVzdF9zdGFydA==,1983,evt_0033_reque_2290
1705312962824,38,session_017,request_end,2040,evt_0038_reque_4681
1705312974252,43,session_019,request_end,2000,evt_0043_reque_8749
1705312989837,48,session_009,request_end,627,evt_0048_reque_8260
1705313004953,53,session_018,error_timeout,3996,evt_0053_error_3536
1705313023907,58,session_004,heartbeat,4676,e
1705313047463,63,session_020,heartbeat,829,evt_0063_heart_2200
1705313065105,68,session_004,aGVhcnRiZWF0,4542,evt_0068_heart_3546
1705313085027,73,session_015,request_end,3513,evt_0073_reque_1158
1705313096586,78,session_005,heartbeat,1949,evt_0078_heart_3662
1705313127689,83,session_015,request_start,1874,evt_0083_reque_4652
1705313150355,88,session_020,request_end,2579,evt
1705313175480,93,session_004,error_timeout,2470,evt_0093_error_9308
1705313193424,98,session_015,request_end,1760,evt_009
1705313214365,103,session_019,cmVxdWVzdF9zdGFydA==,3155,evt_0103_reque_9099
1705313234204,108,session_015,request_end,4145,evt_0108_reque_7991
1705313254216,113,session_005,request_start,1261,evt_0113_reque_4505
1705313278958,118,session_014,request_end,4483,evt_0118_reque_4613
1705313308221,123,session_014,request_start,3792,evt_0123_reque_3977
1705313325452,128,session_003,error_500,339,evt_0128_error_1508
1705313343746,133,session_019,error_timeout,3084,evt_0133_error_7498
1705313374804,138,session_014,ZXJyb3JfNTAw,874,e
1705313402489,143,session_015,request_start,3816,evt_0143_reque_7209
1705313422808,148,session_008,error_timeout,4030,evt_0148_error_8342
1705313445216,153,session_007,request_start,4399,evt_0153_reque_4033
1705313462785,158,session_005,re
1705313488351,163,session_019,heartbeat,707,evt_0163_heart_5066
1705313512382,168,session_003,request_start,1433,evt_0168_reque_2229
1705313529385,173,session_005,cmVxdWVzdF9zdGFydA==,1369,evt_017
1705313552518,178,session_003,request_start,4722,evt_0178_reque_1339
1705313576779,183,session_014,error_timeout,2371,evt_0183_error_7561
1705313603275,188,session_015,error_500,1677,evt_0188_error_5375
1705313618807,193,session_005,request_end,2400,evt_0193_reque_9337
1705313642975,198,session_001,request_start,2455,evt_0198_reque_9022
1705313662997,203,session_005,request_end,313,evt_0203_reque_3068
1705313682003,208,session_011,cmVxdWVzdF9lbmQ=,4007,evt_0208_reque_9864
1705313698397,213,session_008,request_end,4646,evt_0213_reque_3950
1705313720492,218,session_010,request_end,3485,evt_0218_reque_5097
1705313740223,223,session_010,error_500,1895,evt_0223_error_6772
1705313766519,228,session_012,request_end,2242,evt_0228_reque_3695
1705313788354,233,session_012,error_timeout,2157,evt_0233_error_7242
1705313813113,238,session_002,request_start,4045,evt_0238_reque_2902
1705313835633,243,session_012,cmVxdWVzdF9zdGFydA==,3652,evt_0243_reque_4868
1705313854502,248,session_018,request_start,1779,evt_0248_reque_4817
1705313868755,253,session_006,request_start,1048,evt_0253_reque_7897
1705313892457,258,session_013,request_end,894,evt_0258_reque_9032
1705313920520,263,session_004,heartbeat,4526,evt_0263_heart_4522
1705313945980,268,session_004,error_timeout,3062,evt_0268_error_3131
1705313965491,273,session_018,request_end,2292,evt_0273_reque_4705
1705313989056,278,session_017,cmVxdWVzdF9zdGFydA==,3449,evt_0278_reque_8432
1705314010032,283,session_014,request_start,4868,evt_0283_reque_8972
1705314033008,288,session_008,request_end,2911,evt_0288_requ
1705314055015,293,session_014,error_500,2003,evt_0293_error_8138
1705314077121,298,session_006,request_end,627,evt_0298_reque_3902
1705314099897,303,session_010,request_end,318,evt_0303_reque_1932
1705314126762,308,session_011,heartbeat,700,evt_0308_heart_9266
1705314149957,313,session_009,ZXJyb3JfdGltZW91dA==,4947,evt_0313_error_3463
1705314170759,318,session_001,request_end,1486,evt_0318_reque_4509
1705314189690,323,session_006,request_start,1366,evt_0323_reque_8170
1705314211309,328,session_013,request_end,3439,evt_0328_reque_3655
1705314239812,333,session_014,request_start,1828,evt_0333_reque_8391
1705314268060,338,session_005,error_500,3852,evt_0338_error_8349
1705314282739,343,session_016,request_end,144,evt_0343_reque_9443
1705314299002,348,session_016,cmVxdWVzdF9zdGFydA==,3179,evt_0348_reque_7116
1705314317478,353,session_015,request_start,1661,evt_0353_reque_1717
1705314336698,358,session_012,request_end,3286,evt_0358_reque_8204
1705314364348,363,session_011,error_timeout,2520,evt_0363_error_8305
1705314382183,368,session_005,request_start,3010,evt_0368_reque_6933
1705314399293,373,session_018,request_start,2142,evt_0373_reque_8311
1705314424701,378,session_006,error_timeout,1436,evt_0378_error_6922
1705314443033,383,session_014,ZXJyb3JfNTAw,
1705314462779,388,session_008,request_start,4260,evt_0388_reque_5653
1705314486787,393,session_019,request_start,242,evt_0393_reque_2330
1705314507099,398,session_016,request_end,2796,evt_0398_reque_3353
1705314518397,403,session_006,error_500,4742,evt_0403_error_6123
1705314533415,408,session_018,request_start,890,evt_0408_reque_8060
1705314544832,413,session_013,request_end,2787,evt_0413_reque_6990
1705314568562,418,session_020
1705314587459,423,session_017,request_end,3124,evt_0423_reque_3421
1705314613706,428,session_016,request_end,2580,evt_0428_reque_3837
1705314639243,433,session_012,request_end,2250,evt_0433_reque_5715
1705314660194,438,session_018,request_start,4614,evt_0438_reque_5450
1705314681414,443,session_006,request_end,3906,evt_0443_reque_8822
1705314709645,448,sess
1705314726062,453,session_006,cmVxdWVzdF9zdGFydA==,2771,evt_0453_reque_5833
1705314743194,458,session_019,error_timeout,103,evt_0458_error_5285
1705314766803,463,session_015,error_timeout,4972,evt_0463_error_7121
1705314789531,468,session_019,request_end,1357,evt_0468_reque_6375
1705314808674,473,session_009,error_500,1795,evt_0473_error_2196
1705314818113,478,session_018,request_start,2858,evt_0478_reque_2943
1705314843626,483,session_004,request_start,3444,evt_0483_reque_1256
1705314866281,488,session_019,cmVxdWVzdF9zdGFydA==,4908,evt_0488_reque_6253
1705314887850,493,session_005,request_start,1516,evt_0493_reque_9813
1705314913268,498,session_012,request_start,1570,evt_0498_reque_1844
1705314820075,479,session_018,request_end,1053,evt_0479_reque_4648
1705314915967,499,session_013,error_timeout,4949,evt_0499_error_1647
1705314515864,402,session_004,request_start,3156,evt_0402_reque_7850
1705314782254,466,session_015,request_end,2973,evt_0466_reque_2279
1705313715179,217,session_018,cmVxdWVzdF9zdGFydA==,3628,evt_0217_reque_6661
1705313367345,137,session_012,request_start,2805,evt_0137_reque_1207
