# offset_ms: -120000
timestamp,sequence_number,session_id,event_type,latency_ms,payload
1705312695808,4,session_017,request_end,4607,evt_0004_reque_4257
1705312720960,9,session_002,error_timeout,4402,evt_0009_error_3045
1705312742188,14,session_009,error_timeout,594,evt_0014_error_3803
1705312758464,19,session_016,request_end,3768,evt_0019_reque_3340
1705312777432,24,session_006,error_500,3468,evt_0024_error_2040
1705312797231,29,session_006,request_end,881,evt_0029_reque_5889
1705312825676,34,session_016,error_500,4373,evt_0034_error_3060
1705312843848,39,session_011,request_start,4547,evt_0039_reque_4770
1705312861367,44,session_014,request_start,804,evt_0044_reque_8062
1705312876956,49,session_018,request_start,4438,evt_0049_reque_1241
1705312887008,54,session_010,request_start,489,evt_0054_reque_9883
1705312909149,59,session_020,request_start,681,evt_0059_reque_7868
1705312932367,64,session_007,request_end,1095,evt_0064_reque_6718
1705312947836,69,session_010,request_end,2818,evt_0069_reque_4335
1705312966443,74,session_003,heartbeat,1231,evt_0074_heart_9938
1705312983638,79,session_006,heartbeat,213,evt_0079_heart_3938
1705313008382,84,session_007,request_end,2292,evt_0084_reque_2137
1705313035821,89,session_017,request_start,4733,evt_0089_reque_4114
1705313058513,94,session_014,request_start,2432,evt_0094_reque_3085
1705313077800,99,session_006,error_timeout,2334,evt_0099_error_9445
1705313098138,104,session_008,request_start,55,evt_0104_reque_2746
1705313121508,109,session_018,request_end,1313,evt_0109_reque_8777
1705313135242,114,session_014,request_end,4455,evt_0114_reque_8633
1705313163457,119,session_008,request_start,3988,evt_0119_reque_1475
1705313189132,124,session_009,request_end,1743,evt_0124_reque_8449
1705313207977,129,session_007,error_500,1258,evt_0129_error_4908
1705313230103,134,session_007,request_start,1999,evt_0134_reque_2669
1705313258271,139,session_015,error_timeout,3577,evt_0139_error_3885
1705313285744,144,session_001,request_end,2672,evt_0144_reque_3979
1705313309803,149,session_001,request_start,1825,evt_0149_reque_7625
1705313327285,154,session_007,error_timeout,2275,evt_0154_error_9595
1705313350434,159,session_001,request_end,3855,evt_0159_reque_8843
1705313369821,164,session_018,error_500,4976,evt_0164_error_4697
1705313394164,169,session_001,request_end,4874,evt_0169_reque_8699
1705313414759,174,session_019,heartbeat,3607,evt_0174_heart_3037
1705313439282,179,session_009,request_end,1445,evt_0179_reque_8708
1705313463943,184,session_018,request_start,731,evt_0184_reque_6153
1705313488274,189,session_005,heartbeat,3599,evt_0189_heart_8941
1705313505085,194,session_009,request_end,3962,evt_0194_reque_8736
1705313530563,199,session_005,request_end,3977,evt_0199_reque_6654
1705313547611,204,session_019,request_start,832,evt_0204_reque_8213
1705313562797,209,session_020,request_start,2364,evt_0209_reque_4727
1705313580289,214,session_006,request_start,3143,evt_0214_reque_4945
1705313604734,219,session_010,request_start,3161,evt_0219_reque_8916
1705313622517,224,session_007,request_end,1130,evt_0224_reque_2591
1705313649124,229,session_016,heartbeat,2427,evt_0229_heart_6549
1705313675591,234,session_012,request_start,1925,evt_0234_reque_8724
1705313694409,239,session_008,heartbeat,1121,evt_0239_heart_7367
1705313723140,244,session_012,request_start,3019,evt_0244_reque_9920
1705313737693,249,session_005,error_500,4892,evt_0249_error_1046
1705313753564,254,session_004,error_timeout,3911,evt_0254_error_8344
1705313778792,259,session_015,request_start,671,evt_0259_reque_6277
1705313804543,264,session_015,heartbeat,3399,evt_0264_heart_6553
1705313831037,269,session_002,request_end,4610,evt_0269_reque_6400
1705313852603,274,session_014,error_500,4570,evt_0274_error_1430
1705313872348,279,session_006,request_end,2667,evt_0279_reque_2391
1705313894848,284,session_010,request_start,3247,evt_0284_reque_1897
1705313916760,289,session_002,request_end,3776,evt_0289_reque_2275
1705313940339,294,session_013,request_end,3252,evt_0294_reque_6083
1705313963952,299,session_016,request_end,4628,evt_0299_reque_8354
1705313983417,304,session_010,request_start,749,evt_0304_reque_9307
1705314012555,309,session_006,request_start,3596,evt_0309_reque_8199
1705314033187,314,session_003,request_end,1168,evt_0314_reque_6731
1705314054058,319,session_016,request_start,1136,evt_0319_reque_3538
1705314070547,324,session_014,request_end,1955,evt_0324_reque_8277
1705314098500,329,session_007,error_500,1143,evt_0329_error_5096
1705314127558,334,session_012,heartbeat,3408,evt_0334_heart_1872
1705314153600,339,session_001,heartbeat,165,evt_0339_heart_5193
1705314167949,344,session_008,error_timeout,2396,evt_0344_error_8032
