# offset_ms: 0
session_id,latency_ms,timestamp,event_type,sequence_number,payload
session_018,3689,1705312822173,request_end,5,evt_0005_reque_5557
session_003,2972,1705312844560,request_end,10,evt_0010_reque_4150
session_008,3118,1705312867063,request_start,15,evt_0015_reque_5422
session_005,4608,1705312881133,request_start,20,evt_0020_reque_9830
session_013,3844,1705312901084,request_end,25,evt_0025_reque_9669
session_017,1262,1705312924625,request_end,30,evt_0030_reque_7126
session_016,1362,1705312947227,heartbeat,35,evt_0035_heart_5342
session_008,492,1705312969168,request_start,40,evt_0040_reque_4750
session_014,453,1705312984769,request_end,45,evt_0045_reque_2612
session_008,3988,1705312998220,request_start,50,evt_0050_reque_8886
session_011,4795,1705313008007,request_start,55,evt_0055_reque_8811
session_019,2601,1705313035034,request_end,60,evt_0060_reque_5272
session_003,3037,1705313060083,heartbeat,65,evt_0065_heart_5669
session_009,2067,1705313073967,request_end,70,evt_0070_reque_1832
session_012,1223,1705313087238,request_end,75,evt_0075_reque_8041
session_011,3382,1705313110171,error_500,80,evt_0080_error_5065
session_009,4183,1705313135217,request_end,85,evt_0085_reque_7548
session_002,23,1705313158407,error_timeout,90,evt_0090_error_9518
session_014,3115,1705313180584,error_timeout,95,evt_0095_error_3851
session_020,1934,1705313203738,request_start,100,evt_0100_reque_6085
session_014,4253,1705313225014,request_start,105,evt_0105_reque_8611
session_009,2281,1705313245694,error_500,110,evt_0110_error_9540
session_002,3451,1705313259148,request_start,115,evt_0115_reque_7381
session_011,3322,1705313287142,error_timeout,120,evt_0120_error_3704
session_011,3115,1705313312309,error_500,125,evt_0125_error_5558
session_016,4630,1705313329511,error_timeout,130,evt_0130_error_4571
session_010,4928,1705313356314,heartbeat,135,evt_0135_heart_2983
session_017,2222,1705313384782,heartbeat,140,evt_0140_heart_9817
session_007,2126,1705313410238,request_end,145,evt_0145_reque_6576
session_008,4774,1705313435970,request_start,150,evt_0150_reque_7046
session_010,1600,1705313452673,heartbeat,155,evt_0155_heart_5853
session_011,430,1705313474542,request_start,160,evt_0160_reque_5136
session_017,3636,1705313496675,request_end,165,evt_0165_reque_5871
session_002,2326,1705313517049,request_start,170,evt_0170_reque_8438
session_010,2240,1705313539098,error_timeout,175,evt_0175_error_9199
session_015,1496,1705313564033,heartbeat,180,evt_0180_heart_8141
session_011,3321,1705313586510,request_start,185,evt_0185_reque_9431
session_001,4997,1705313609768,heartbeat,190,evt_0190_heart_4920
session_015,3152,1705313627581,request_end,195,evt_0195_reque_4122
session_017,135,1705313668927,heartbeat,205,evt_0205_heart_3361
session_003,816,1705313689414,request_end,210,evt_0210_reque_2646
session_019,3787,1705313704865,request_start,215,evt_0215_reque_5161
session_008,2950,1705313726107,request_end,220,evt_0220_reque_5847
session_002,3621,1705313750417,request_start,225,evt_0225_reque_1546
session_020,4609,1705313796296,heartbeat,235,evt_0235_heart_6374
session_012,4435,1705313818625,error_timeout,240,evt_0240_error_7866
session_012,2270,1705313851026,request_start,245,evt_0245_reque_4109
session_005,4435,1705313860464,heartbeat,250,evt_0250_heart_5106
session_012,903,1705313880437,request_end,255,evt_0255_reque_8405
session_005,2262,1705313904275,request_start,260,evt_0260_reque_9984
session_015,788,1705313931821,request_end,265,evt_0265_reque_6120
session_004,3474,1705313957025,request_end,270,evt_0270_reque_1842
session_009,2248,1705313978091,request_start,275,evt_0275_reque_6062
session_002,417,1705314000084,request_start,280,evt_0280_reque_2336
session_007,1740,1705314015410,request_start,285,evt_0285_reque_3248
session_011,4707,1705314044322,request_end,290,evt_0290_reque_7626
session_011,1387,1705314066948,request_start,295,evt_0295_reque_2251
session_019,2657,1705314090031,request_end,300,evt_0300_reque_6179
session_015,346,1705314107066,request_end,305,evt_0305_reque_8368
session_017,2991,1705314137348,request_end,310,evt_0310_reque_7108
session_013,704,1705314156228,request_start,315,evt_0315_reque_6072
session_010,838,1705314175190,error_500,320,evt_0320_error_9317
session_016,4552,1705314219427,heartbeat,330,evt_0330_heart_2680
session_017,3173,1705314251305,request_end,335,evt_0335_reque_2337
session_005,4997,1705314275866,request_end,340,evt_0340_reque_9647
session_020,4684,1705314288461,request_end,345,evt_0345_reque_7825
session_004,2733,1705314304054,error_500,350,evt_0350_error_3185
session_013,4458,1705314329180,heartbeat,355,evt_0355_heart_8756
session_016,4263,1705314350695,request_end,360,evt_0360_reque_5369
session_002,2898,1705314373946,error_timeout,365,evt_0365_error_8126
session_012,639,1705314389357,request_end,370,evt_0370_reque_3255
session_005,3713,1705314403054,heartbeat,375,evt_0375_heart_3828
session_016,4548,1705314431807,request_start,380,evt_0380_reque_7044
session_018,1500,1705314447681,request_end,385,evt_0385_reque_3114
session_010,775,1705314471733,request_end,390,evt_0390_reque_9234
session_001,4479,1705314493222,request_end,395,evt_0395_reque_5745
session_012,879,1705314511730,request_end,400,evt_0400_reque_6228
session_010,747,1705314525037,request_end,405,evt_0405_reque_7442
session_013,4612,1705314535882,request_start,410,evt_0410_reque_4189
session_002,1132,1705314556112,request_start,415,evt_0415_reque_6456
session_001,907,1705314577607,request_end,420,evt_0420_reque_7824
session_016,2029,1705314623468,request_start,430,evt_0430_reque_5571
session_012,1209,1705314647945,heartbeat,435,evt_0435_heart_5758
session_002,4360,1705314664304,error_timeout,440,evt_0440_error_4697
session_002,742,1705314690081,heartbeat,445,evt_0445_heart_4804
session_015,4460,1705314713051,heartbeat,450,evt_0450_heart_9590
session_011,791,1705314735934,request_start,455,evt_0455_reque_4027
session_010,4126,1705314753360,request_start,460,evt_0460_reque_6095
session_008,4890,1705314777450,error_timeout,465,evt_0465_error_2341
session_017,465,1705314798274,request_end,470,evt_0470_reque_8429
session_003,3877,1705314810538,heartbeat,475,evt_0475_heart_1519
session_020,408,1705314850254,error_timeout,485,evt_0485_error_5009
session_010,4570,1705314872608,request_start,490,evt_0490_reque_3869
session_015,4617,1705314899329,heartbeat,495,evt_0495_heart_7761
session_003,4823,1705314923623,request_start,500,evt_0500_reque_4555
session_006,1436,1705314424701,error_timeout,378,evt_0378_error_6922
session_009,3313,1705314535012,error_timeout,409,evt_0409_error_6995
session_018,1313,1705313241508,request_end,109,evt_0109_reque_8777
session_015,3816,1705313402489,request_start,143,evt_0143_reque_7209
session_016,1136,1705314174058,request_start,319,evt_0319_reque_3538
session_015,2488,1705313061875,error_500,66,evt_0066_error_9666
session_003,1231,1705313086443,heartbeat,74,evt_0074_heart_9938
session_008,939,1705313617345,heartbeat,192,evt_0192_heart_8560
session_004,4542,1705313065105,heartbeat,68,evt_0068_heart_3546
