# shard_id: node_f
# time_offset_ms: 0
# node: node_f
seq,timestamp,session_id,event_type,latency_ms,status
601,1705312900,session_012,request_start,1823,success
602,1705312928,session_013,request_end,2100,error
603,1705312956,session_014,error_500,3456,success
604,1705312984,session_015,error_timeout,4200,error
605,1705313012,session_012,request_start,1500,success
606,1705313040,session_013,request_end,2800,error
607,1705313068,session_014,error_500,3900,success
608,1705313096,session_015,error_timeout,1200,error
609,1705313124,session_012,request_start,4500,success
610,1705313152,session_013,request_end,2500,error
611,1705313180,session_014,request_start,1800,success
612,1705313208,session_015,request_end,3200,error
613,1705313236,session_012,error_500,4700,success
614,1705313264,session_013,error_timeout,2200,error
615,1705313292,session_014,request_start,1600,success
616,1705313320,session_015,request_end,3700,error
617,1705313348,session_012,error_500,4100,success
618,1705313376,session_013,error_timeout,1900,error
619,1705313404,session_014,request_start,2700,success
620,1705313432,session_015,request_end,3300,error
621,1705313460,session_012,error_500,4800,success
622,1705313488,session_013,error_timeout,1400,error
623,1705313516,session_014,request_start,2400,success
624,1705313544,session_015,request_end,3600,error
625,1705313572,session_012,error_500,4400,success
626,1705313600,session_013,error_timeout,1700,error
627,1705313628,session_014,request_start,2900,success
628,1705313656,session_015,request_end,3800,error
629,1705313684,session_012,error_500,4600,success
630,1705313712,session_013,error_timeout,1100,error
631,1705313740,session_014,request_start,2000,success
632,1705313768,session_015,request_end,3100,error
633,1705313796,session_012,error_500,4000,success
634,1705313824,session_013,error_timeout,1300,error
635,1705313852,session_014,request_start,2300,success
636,1705313880,session_015,request_end,3500,error
637,1705313908,session_012,error_500,4300,success
638,1705313936,session_013,error_timeout,1050,error
639,1705313964,session_014,request_start,2150,success
640,1705313992,session_015,request_end,3250,error
641,1705314020,session_012,request_start,1823,success
642,1705314048,session_013,request_end,2100,error
643,1705314076,session_014,error_500,3456,success
644,1705314104,session_015,error_timeout,4200,error
645,1705314132,session_012,request_start,1500,success
646,1705314160,session_013,request_end,2800,error
647,1705314188,session_014,error_500,3900,success
648,1705314216,session_015,error_timeout,1200,error
649,1705314244,session_012,request_start,4500,success
650,1705314272,session_013,request_end,2500,error
651,1705314300,session_014,request_start,1800,success
652,1705314328,session_015,request_end,3200,error
653,1705314356,session_012,error_500,4700,success
654,1705314384,session_013,error_timeout,2200,error
655,1705314412,session_014,request_start,1600,success
656,1705314440,session_015,request_end,3700,error
657,1705314468,session_012,error_500,4100,success
658,1705314496,session_013,error_timeout,1900,error
659,1705314524,session_014,request_start,2700,success
660,1705314552,session_015,request_end,3300,error
661,1705314580,session_012,error_500,4800,success
662,1705314608,session_013,error_timeout,1400,error
663,1705314636,session_014,request_start,2400,success
664,1705314664,session_015,request_end,3600,error
665,1705314692,session_012,error_500,4400,success
666,1705314720,session_013,error_timeout,1700,error
667,1705314748,session_014,request_start,2900,success
668,1705314776,session_015,request_end,3800,error
669,1705314804,session_012,error_500,4600,success
670,1705314832,session_013,error_timeout,1100,error
671,1705314860,session_014,request_start,2000,success
672,1705314888,session_015,request_end,3100,error
673,1705314916,session_012,error_500,4000,success
674,1705314944,session_013,error_timeout,1300,error
675,1705314972,session_014,request_start,2300,success
676,1705315000,session_015,request_end,3500,error
677,1705315028,session_012,error_500,4300,success
678,1705315056,session_013,error_timeout,1050,error
679,1705315084,session_014,request_start,2150,success
680,1705315112,session_015,request_end,3250,error
